Number,Patch name,Tissue percentage,WSI coord (x),WSI coord (y),WSI position (row),WSI position (column)
1,TCGA-55-A48Y_r4096_c2048,0.46460065507684556,4097,2049,3,2
2,TCGA-55-A48Y_r6144_c2048,0.7983119173595364,6145,2049,4,2
3,TCGA-55-A48Y_r8192_c2048,0.9976694381456286,8193,2049,5,2
4,TCGA-55-A48Y_r10240_c2048,0.9568531116150164,10241,2049,6,2
5,TCGA-55-A48Y_r12288_c2048,0.7451499118165785,12289,2049,7,2
6,TCGA-55-A48Y_r14336_c2048,0.40677752582514487,14337,2049,8,2
7,TCGA-55-A48Y_r0_c4096,0.940350214159738,1,4097,1,3
8,TCGA-55-A48Y_r2048_c4096,1.0,2049,4097,2,3
9,TCGA-55-A48Y_r4096_c4096,1.0,4097,4097,3,3
10,TCGA-55-A48Y_r6144_c4096,1.0,6145,4097,4,3
11,TCGA-55-A48Y_r8192_c4096,1.0,8193,4097,5,3
12,TCGA-55-A48Y_r10240_c4096,1.0,10241,4097,6,3
13,TCGA-55-A48Y_r12288_c4096,1.0,12289,4097,7,3
14,TCGA-55-A48Y_r14336_c4096,1.0,14337,4097,8,3
15,TCGA-55-A48Y_r16384_c4096,0.6817838246409675,16385,4097,9,3
16,TCGA-55-A48Y_r0_c6144,1.0,1,6145,1,4
17,TCGA-55-A48Y_r2048_c6144,1.0,2049,6145,2,4
18,TCGA-55-A48Y_r4096_c6144,1.0,4097,6145,3,4
19,TCGA-55-A48Y_r6144_c6144,1.0,6145,6145,4,4
20,TCGA-55-A48Y_r8192_c6144,1.0,8193,6145,5,4
21,TCGA-55-A48Y_r10240_c6144,1.0,10241,6145,6,4
22,TCGA-55-A48Y_r12288_c6144,1.0,12289,6145,7,4
23,TCGA-55-A48Y_r14336_c6144,1.0,14337,6145,8,4
24,TCGA-55-A48Y_r16384_c6144,0.9974174855127236,16385,6145,9,4
25,TCGA-55-A48Y_r0_c8192,1.0,1,8193,1,5
26,TCGA-55-A48Y_r2048_c8192,1.0,2049,8193,2,5
27,TCGA-55-A48Y_r4096_c8192,1.0,4097,8193,3,5
28,TCGA-55-A48Y_r6144_c8192,1.0,6145,8193,4,5
29,TCGA-55-A48Y_r8192_c8192,1.0,8193,8193,5,5
30,TCGA-55-A48Y_r10240_c8192,1.0,10241,8193,6,5
31,TCGA-55-A48Y_r12288_c8192,1.0,12289,8193,7,5
32,TCGA-55-A48Y_r14336_c8192,1.0,14337,8193,8,5
33,TCGA-55-A48Y_r16384_c8192,1.0,16385,8193,9,5
34,TCGA-55-A48Y_r0_c10240,1.0,1,10241,1,6
35,TCGA-55-A48Y_r2048_c10240,1.0,2049,10241,2,6
36,TCGA-55-A48Y_r4096_c10240,1.0,4097,10241,3,6
37,TCGA-55-A48Y_r6144_c10240,1.0,6145,10241,4,6
38,TCGA-55-A48Y_r8192_c10240,1.0,8193,10241,5,6
39,TCGA-55-A48Y_r10240_c10240,1.0,10241,10241,6,6
40,TCGA-55-A48Y_r12288_c10240,1.0,12289,10241,7,6
41,TCGA-55-A48Y_r14336_c10240,1.0,14337,10241,8,6
42,TCGA-55-A48Y_r16384_c10240,1.0,16385,10241,9,6
43,TCGA-55-A48Y_r0_c12288,0.46258503401360546,1,12289,1,7
